Feature,Description
Total distance,Total distance traveled by the cursor.
Time in trial,Total duration of the trial.
Complete time in trial,Total duration of the trial without threshold (i.e. 8 targets).
Correct touches,Number of correct target touches
Complete correct touches,Number of correct target touches without threshold (i.e. 8 targets).
Mean speed,Average cursor speed.
SD speed,Standard deviation of the cursor speed.
Peak speed,Maximum cursor speed observed.
Hesitation average speed,Average hesitation speed.
Hesitation distance,Total distance traveled by the cursor in hesitation
Hesitation time,Total time spent in the hesitation state during the trial.
Hesitation max duration,Longest hesitation duration during the trial
Travel distance,Total distance traveled during travel segments.
Travel time,Total time spent during travel segments.
Travel average speed,Average cursor speed during travel segments.
Search distance,Total distance traveled during search movements.
Search time,Total time spent in the search state.
Search average speed,Average cursor speed during search movements.
Inter-target time,Sum of time elapsed between successive target touches.
Intra-target time,Sum of time spent within the area of a target before leaving it.
Area difference from ideal,Difference between the area of the actual path and the ideal path.
Distance difference from ideal,Difference between the traveled path length and the length of the ideal straight line connecting to the next target.
State transitions,"Total number of transitions for one state (hesitation, search or travel) to another"
Number of crosses,"Number of times the cursor trajectory crosses itself, excluding intersections between temporally adjacent segments."
